ID,SIS User ID,initialScore,scoreChangeSum,newScore,feedback
1007729.0,27179456.0,10.00,0,10,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
982274.0,42023606.0,5.00,0,5,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
548308.0,50525658.0,0.00,0,0,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1023859.0,64746589.0,0.00,0,0,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1050335.0,76197284.0,9.00,0,9,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1029547.0,96737135.0,6.00,1,7,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1036743.0,20466207.0,7.00,0,7,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1021500.0,31861552.0,6.00,0,6,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
959622.0,32943896.0,6.00,0,6,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
984460.0,50221068.0,4.00,0,4,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
986290.0,74947425.0,5.00,1,6,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1034508.0,36418788.0,7.00,1,8,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
913246.0,45210440.0,6.00,1,7,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1041694.0,50922293.0,6.00,1,7,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1033716.0,88470448.0,3.00,0,3,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
894957.0,94685435.0,9.00,1,10,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
952015.0,21238936.0,8.00,0,8,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
964738.0,25604398.0,6.00,0,6,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
820899.0,34313692.0,1.00,0,1,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1049165.0,52366838.0,4.00,0,4,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1003960.0,57538571.0,8.00,0,8,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1028555.0,41061466.0,5.00,2,7,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
945113.0,68306661.0,11.00,1,12,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
893171.0,69197929.0,6.00,0,6,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
613609.0,77945814.0,4.00,3,7,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
962324.0,78949195.0,1.00,0,1,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1036743.0,20466207.0,7.00,0,7,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1015463.0,31138811.0,9.00,0,9,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
959622.0,32943896.0,6.00,0,6,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
984460.0,50221068.0,4.00,0,4,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
986290.0,74947425.0,5.00,1,6,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
982483.0,28346682.0,5.00,0,5,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
944991.0,29819992.0,5.00,0,5,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
982607.0,37995685.0,6.00,0,6,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1022826.0,61291597.0,9.00,0,9,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
986105.0,65972788.0,5.00,0,5,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1044708.0,13847777.0,4.00,2,6,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1016013.0,51395333.0,7.00,1,8,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1018869.0,70482856.0,3.00,0,3,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1047630.0,75429670.0,4.00,1,5,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
961739.0,10479046.0,5.00,0,5,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1052702.0,23575640.0,4.00,1,5,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1004649.0,25034224.0,8.00,4,12,"Question regraded: Q.1

Change in grade:4

Comments left by regrader: 4/4 already on the requested question"
820899.0,34313692.0,1.00,0,1,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
962324.0,78949195.0,1.00,0,1,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1022954.0,26628511.0,9.00,1,10,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: the student lose just 1 mark on this question since they did not mention equations for A and B"
985985.0,27475540.0,8.00,0,8,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
820899.0,34313692.0,1.00,0,1,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1042408.0,83745844.0,11.00,1,12,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1029260.0,91919373.0,8.00,0,8,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1035694.0,23382393.0,1.00,1,2,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
883245.0,35643196.0,5.00,1,6,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1008968.0,44091502.0,8.00,1,9,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1040385.0,57759979.0,6.00,3,9,"Question regraded: Q.1

Change in grade:3

Comments left by regrader: *No comments left by regrader*"
983327.0,93103547.0,11.00,1,12,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
961743.0,21191069.0,6.00,0,6,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
247312.0,50192491.0,6.00,0,6,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
842037.0,59830091.0,5.00,2,7,"Question regraded: Q.3

Change in grade:2

Comments left by regrader: *No comments left by regrader*"
961089.0,60531407.0,10.00,0,10,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1013214.0,88570312.0,2.00,0,2,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1035694.0,23382393.0,1.00,1,2,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: part b): ""Give the mark if they used dy/dx starting from (a)"" was not originaly given"
1018027.0,46649190.0,7.00,0,7,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1034056.0,51818763.0,1.00,0,1,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: part d): correct explination (although inconsistant with part b), but part c) was wrong so no marks"
454934.0,67543819.0,9.00,0,9,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1032625.0,91259945.0,9.00,0,9,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: part b): solved for the wrong quantity"
964833.0,19741602.0,7.00,3,10,"Question regraded: Q.2

Change in grade:3

Comments left by regrader: Slightly different method is used, but the solution is correct."
1003960.0,57538571.0,8.00,0,8,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
982338.0,63650527.0,6.00,1,7,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
962324.0,78949195.0,1.00,0,1,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1031239.0,91218123.0,4.00,2,6,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: Slightly different method is used, but the solution is correct."
961739.0,10479046.0,5.00,0,5,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
985492.0,17482613.0,7.00,0,7,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1016499.0,74492265.0,5.00,0,5,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1009385.0,87267225.0,9.00,1,10,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
955441.0,93716843.0,3.00,0,3,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1043059.0,54747431.0,6.00,2,8,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: 2b contains correct answers for both a and b, giving 3/4"
1050555.0,55612048.0,2.00,2,4,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
982994.0,68409978.0,8.00,1,9,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: incorrect dy/dx but managed to get tangent line"
984308.0,70416466.0,10.00,0,10,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1028856.0,95699716.0,9.00,0,9,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
982711.0,45305018.0,6.00,2,8,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: +1 in a) correct answer (not simplified) and +1 in b) idem up to sign"
958976.0,49979776.0,9.00,1,10,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: a) is completely correct"
1009638.0,52832607.0,8.00,3,11,"Question regraded: Q.2

Change in grade:3

Comments left by regrader: +2 in a) (previous grader didn't consider the extra sheet) and +1 in b) (small calculation error)"
1029349.0,53327060.0,10.00,0,10,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1026498.0,77282770.0,8.00,2,10,"Question regraded: Q.2

Change in grade:2

Comments left by regrader:  +1 in a) for correct reasoning after an initial error to set up the relation between h and r and +1 in b) for the correct equation"
1018831.0,16047854.0,10.00,1,11,"Question regraded: Q.1

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
964868.0,51170611.0,5.00,1,6,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1034056.0,51818763.0,1.00,0,1,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1023859.0,64746589.0,0.00,0,0,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1031211.0,78455201.0,5.00,0,5,"Question regraded: Q.1

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1018959.0,11890225.0,10.00,1,11,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1044708.0,13847777.0,4.00,2,6,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: *No comments left by regrader*"
961327.0,25684408.0,10.00,0,10,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1050713.0,34409532.0,9.00,2,11,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: *No comments left by regrader*"
1005082.0,45207172.0,9.00,2,11,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: *No comments left by regrader*"
1025375.0,13176722.0,5.00,1,6,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1028555.0,41061466.0,5.00,2,7,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
244935.0,73205619.0,3.00,1,4,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
613609.0,77945814.0,4.00,3,7,"Question regraded: Q.2

Change in grade:3

Comments left by regrader: *No comments left by regrader*"
1025495.0,85052900.0,4.00,2,6,"Question regraded: Q.2

Change in grade:2

Comments left by regrader: *No comments left by regrader*"
965378.0,11676061.0,9.00,1,10,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1050555.0,55612048.0,2.00,2,4,"Question regraded: Q.3

Change in grade:2

Comments left by regrader: *No comments left by regrader*"
1041985.0,56978265.0,9.00,1,10,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1030759.0,77951549.0,10.00,1,11,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1032672.0,84225986.0,8.00,1,9,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
982247.0,36073062.0,3.00,1,4,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
247312.0,50192491.0,6.00,0,6,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1011995.0,58523689.0,4.00,0,4,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1018869.0,70482856.0,3.00,0,3,"Question regraded: Q.2

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1047630.0,75429670.0,4.00,1,5,"Question regraded: Q.2

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
959427.0,12568747.0,11.00,0,11,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1035511.0,16266264.0,11.00,1,12,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
1028423.0,17394511.0,10.00,1,11,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
982711.0,45305018.0,6.00,2,8,"Question regraded: Q.3

Change in grade:0

Comments left by regrader: *No comments left by regrader*"
1005720.0,71298277.0,7.00,1,8,"Question regraded: Q.3

Change in grade:1

Comments left by regrader: *No comments left by regrader*"
